config,method,lambda_eff,n_runs,pc_mean,pc_std,pc_sem,anc_mean,anc_std,anc_sem,success_rate
BA-random,Adaptive TD,1,100,0.2855909558067832,0.09719587853471504,0.009719587853471504,0.7821659789613943,0.026201032839046776,0.0026201032839046775,1.0
BA-random,Adaptive TD,2,100,0.32343268242548817,0.09702263003033995,0.009702263003033996,0.7448512566682846,0.02223239258963755,0.002223239258963755,1.0
BA-random,Adaptive TD,4,100,0.3527440904419322,0.09663079271416189,0.00966307927141619,0.7087843418996411,0.023681841379085872,0.002368184137908587,1.0
BA-random,Adaptive TD,6,100,0.3517471736896198,0.09805399592592282,0.009805399592592282,0.6889111718895363,0.026208946037636283,0.0026208946037636284,1.0
BA-random,Adaptive TD,8,100,0.348365878725591,0.09853472184168292,0.009853472184168292,0.6752101386451946,0.02405542129019371,0.002405542129019371,1.0
BA-random,Adaptive TD,10,100,0.3753751284686537,0.09833203857537606,0.009833203857537606,0.6701158793145033,0.022664589414850597,0.00226645894148506,1.0
BA-random,Adaptive TD,12,100,0.3632374100719425,0.09587432431277836,0.009587432431277836,0.665541850781403,0.02250301429805784,0.002250301429805784,1.0
BA-random,Adaptive TD,14,100,0.3491880781089414,0.10475594557377652,0.010475594557377652,0.6587402162476651,0.028031960090095093,0.0028031960090095093,1.0
BA-random,Adaptive TD,16,100,0.34694758478931137,0.09371192857000758,0.009371192857000759,0.6606768032349065,0.027040014759643374,0.0027040014759643375,1.0
BA-random,Adaptive TD,18,100,0.3582733812949641,0.09264587836694763,0.009264587836694763,0.6537662185021607,0.03207521034089548,0.0032075210340895477,1.0
BA-random,Adaptive TD,20,100,0.3670195272353546,0.09303440061221147,0.009303440061221146,0.6575086083854015,0.027445720592261285,0.0027445720592261286,1.0
BA-random,Adaptive Katz,1,100,0.25585817060637206,0.08432422509276508,0.008432422509276508,0.8008030905981063,0.01911820090490867,0.001911820090490867,1.0
BA-random,Adaptive Katz,2,100,0.27697841726618705,0.07919653107860088,0.007919653107860088,0.7780295575152176,0.01696021330293866,0.0016960213302938659,1.0
BA-random,Adaptive Katz,4,100,0.3002672147995889,0.08131824681566267,0.008131824681566268,0.7494520096801968,0.01596556546950393,0.001596556546950393,1.0
BA-random,Adaptive Katz,6,100,0.295950668036999,0.08018708932412587,0.008018708932412588,0.7372770232427318,0.02320689144043982,0.002320689144043982,1.0
BA-random,Adaptive Katz,8,100,0.29272353545734836,0.08270749327607482,0.008270749327607482,0.7258814546757875,0.026340947484568028,0.0026340947484568026,1.0
BA-random,Adaptive Katz,10,100,0.31303186022610485,0.08162893707695466,0.008162893707695466,0.7258798805626401,0.027393977549533016,0.0027393977549533014,1.0
BA-random,Adaptive Katz,12,100,0.3067831449126413,0.0831775553746887,0.00831775553746887,0.7186071384825163,0.024486012100794447,0.0024486012100794446,1.0
BA-random,Adaptive Katz,14,100,0.29597122302158274,0.08701461533665072,0.008701461533665073,0.7090344427143377,0.02822711956227964,0.0028227119562279643,1.0
BA-random,Adaptive Katz,16,100,0.29024665981500514,0.08124318262832778,0.008124318262832778,0.715787788598585,0.02377820420337372,0.0023778204203373722,1.0
BA-random,Adaptive Katz,18,100,0.3017471736896197,0.07731530053368701,0.007731530053368701,0.7063813250743662,0.0326102015482565,0.00326102015482565,1.0
BA-random,Adaptive Katz,20,100,0.310863309352518,0.07792270422035161,0.007792270422035161,0.7077638870180543,0.03222775730106139,0.0032227757301061385,1.0
BA-random,Adaptive TIA,1,100,0.20239465570400822,0.06900205380694835,0.0069002053806948346,0.8298749426517087,0.018362261850367458,0.0018362261850367457,1.0
BA-random,Adaptive TIA,2,100,0.22285714285714284,0.0692052661942836,0.006920526619428361,0.803088160938238,0.01730793178670607,0.001730793178670607,1.0
BA-random,Adaptive TIA,4,100,0.23782117163412128,0.06841213342382049,0.006841213342382049,0.7784482534993087,0.01844448577979002,0.0018444485779790022,1.0
BA-random,Adaptive TIA,6,100,0.24038026721479958,0.07147445715366929,0.007147445715366929,0.7579954024081137,0.01954966423962676,0.001954966423962676,1.0
BA-random,Adaptive TIA,8,100,0.2388591983556012,0.07424079355109885,0.007424079355109884,0.7442898639991233,0.026104563056953186,0.0026104563056953186,1.0
BA-random,Adaptive TIA,10,100,0.2620760534429599,0.07411490129180515,0.007411490129180515,0.736716426750963,0.027008174029516014,0.0027008174029516012,1.0
BA-random,Adaptive TIA,12,100,0.2554881808838643,0.07550580518052064,0.007550580518052063,0.7293910180831575,0.025543745212311213,0.0025543745212311215,1.0
BA-random,Adaptive TIA,14,100,0.24823227132579653,0.080449522737081,0.0080449522737081,0.7141019481227296,0.03477978962719748,0.003477978962719748,1.0
BA-random,Adaptive TIA,16,100,0.2453237410071943,0.07350706487324675,0.007350706487324675,0.7130953169215283,0.03453921765698999,0.0034539217656989986,1.0
BA-random,Adaptive TIA,18,100,0.25733812949640283,0.07302545495301117,0.0073025454953011175,0.7062922656299253,0.03701891309311629,0.0037018913093116294,1.0
BA-random,Adaptive TIA,20,100,0.2661459403905447,0.07267704820760937,0.0072677048207609365,0.7079113732166796,0.03715883427056248,0.0037158834270562477,1.0
BA-random,GNN-RL,1,100,0.16348406988694758,0.04371360846835223,0.004371360846835223,0.8776744898818951,0.012139354818122755,0.0012139354818122756,1.0
BA-random,GNN-RL,2,100,0.1553031860226105,0.03808276057485951,0.0038082760574859507,0.8842349724867716,0.009190157205001931,0.0009190157205001932,1.0
BA-random,GNN-RL,4,100,0.1525077081192189,0.03525611154808223,0.003525611154808223,0.8878155075690144,0.008237344903400402,0.0008237344903400402,1.0
BA-random,GNN-RL,6,100,0.14640287769784174,0.035331972208856054,0.0035331972208856055,0.8894893857368396,0.008502253154236455,0.0008502253154236455,1.0
BA-random,GNN-RL,8,100,0.13970195272353547,0.036703241725965174,0.0036703241725965174,0.8928255436146678,0.007862836267202805,0.0007862836267202805,1.0
BA-random,GNN-RL,10,100,0.15092497430626925,0.03679611368891399,0.0036796113688913985,0.8908051644894114,0.008216186117816724,0.0008216186117816724,1.0
BA-random,GNN-RL,12,100,0.14563206577595067,0.03688531704096414,0.003688531704096414,0.8938678910966132,0.008178907534180994,0.0008178907534180993,1.0
BA-random,GNN-RL,14,100,0.14084275436793425,0.04051077195499069,0.004051077195499069,0.8929402940571487,0.00913604799691656,0.0009136047996916559,1.0
BA-random,GNN-RL,16,100,0.1389928057553957,0.03646095056642487,0.003646095056642487,0.8948715390055613,0.0083124501184826,0.00083124501184826,1.0
BA-random,GNN-RL,18,100,0.14248715313463514,0.03680132202025064,0.003680132202025064,0.8960472476712437,0.009120668244009188,0.0009120668244009188,1.0
BA-random,GNN-RL,20,100,0.14799588900308325,0.03796027638451892,0.0037960276384518916,0.8950983858159192,0.00904761441507495,0.0009047614415074951,1.0
BA-localized,Adaptive TD,1,100,0.2521068859198356,0.11060114627246595,0.011060114627246594,0.8202341686666724,0.04770572475745862,0.004770572475745862,1.0
BA-localized,Adaptive TD,2,100,0.30204522096608427,0.11281802245511983,0.011281802245511983,0.7716997245620061,0.047902963738815474,0.0047902963738815476,1.0
BA-localized,Adaptive TD,4,100,0.3459506680369989,0.10687958466086037,0.010687958466086037,0.7200074885430887,0.0364971098878355,0.00364971098878355,1.0
BA-localized,Adaptive TD,6,100,0.3471325796505653,0.10213584654809892,0.010213584654809892,0.6969539285464394,0.028552828470303562,0.0028552828470303562,1.0
BA-localized,Adaptive TD,8,100,0.3435457348406989,0.10267712253143298,0.010267712253143298,0.6885206462497095,0.025972441975785434,0.0025972441975785432,1.0
BA-localized,Adaptive TD,10,100,0.3716032887975333,0.10312368932052973,0.010312368932052974,0.6776883180582335,0.024095829584881864,0.0024095829584881863,1.0
BA-localized,Adaptive TD,12,100,0.3602466598150052,0.096124664011862,0.009612466401186199,0.6717300257468488,0.02382389843433268,0.002382389843433268,1.0
BA-localized,Adaptive TD,14,100,0.34877697841726624,0.10473208615614261,0.010473208615614262,0.6638034016343708,0.028300763370190204,0.0028300763370190203,1.0
BA-localized,Adaptive TD,16,100,0.344491264131552,0.0947708172494419,0.00947708172494419,0.6637123808547462,0.02489119744762483,0.002489119744762483,1.0
BA-localized,Adaptive TD,18,100,0.356546762589928,0.09257136248290317,0.009257136248290316,0.6546877495993796,0.03107126652916809,0.003107126652916809,1.0
BA-localized,Adaptive TD,20,100,0.36597122302158275,0.09317702781204558,0.009317702781204558,0.6595560149670036,0.025017731772800225,0.0025017731772800224,1.0
BA-localized,Adaptive Katz,1,100,0.2334224049331963,0.09514718748179754,0.009514718748179754,0.8313771877441932,0.03902838103198889,0.003902838103198889,1.0
BA-localized,Adaptive Katz,2,100,0.26346351490236386,0.09419346916634418,0.009419346916634418,0.7981761818565982,0.03457820990548729,0.003457820990548729,1.0
BA-localized,Adaptive Katz,4,100,0.2918602261048304,0.08746067198262003,0.008746067198262004,0.7632876627571692,0.023873839717314552,0.002387383971731455,1.0
BA-localized,Adaptive Katz,6,100,0.29218910585817054,0.08559374233414153,0.008559374233414154,0.7441928751346352,0.01994702896815481,0.001994702896815481,1.0
BA-localized,Adaptive Katz,8,100,0.28966084275436793,0.08670010140652688,0.008670010140652688,0.7354282952919086,0.017588944270912628,0.0017588944270912627,1.0
BA-localized,Adaptive Katz,10,100,0.3128365878725591,0.0827632224161571,0.008276322241615711,0.7302686905088713,0.018477680028327465,0.0018477680028327465,1.0
BA-localized,Adaptive Katz,12,100,0.30710174717368965,0.08389414345986225,0.008389414345986225,0.7172316442028888,0.024133104854151863,0.0024133104854151865,1.0
BA-localized,Adaptive Katz,14,100,0.29427543679342244,0.08811762165346006,0.008811762165346005,0.7154694547767596,0.02635101783127644,0.0026351017831276443,1.0
BA-localized,Adaptive Katz,16,100,0.291808838643371,0.08024638800330526,0.008024638800330526,0.7098170915912196,0.02816915524098165,0.0028169155240981647,1.0
BA-localized,Adaptive Katz,18,100,0.3015210688591984,0.077109248747947,0.0077109248747947,0.7092515332562565,0.030594951976455415,0.0030594951976455416,1.0
BA-localized,Adaptive Katz,20,100,0.31064748201438847,0.07987253095400437,0.007987253095400437,0.7123308286379867,0.026661542151943395,0.0026661542151943394,1.0
BA-localized,Adaptive TIA,1,100,0.17854059609455292,0.07834430380482355,0.007834430380482354,0.8645835342545394,0.03535403854810804,0.003535403854810804,1.0
BA-localized,Adaptive TIA,2,100,0.20807810894141826,0.07960213625681516,0.007960213625681516,0.830138290129949,0.034989589315440314,0.0034989589315440315,1.0
BA-localized,Adaptive TIA,4,100,0.23482014388489214,0.07446246797468356,0.007446246797468356,0.7888115172137481,0.019502258359071815,0.0019502258359071815,1.0
BA-localized,Adaptive TIA,6,100,0.23763617677286739,0.07450672697630097,0.007450672697630096,0.7653369037002881,0.018693144994124195,0.0018693144994124194,1.0
BA-localized,Adaptive TIA,8,100,0.2373689619732785,0.07647792984734372,0.007647792984734373,0.7512979875604238,0.021535165884348277,0.0021535165884348276,1.0
BA-localized,Adaptive TIA,10,100,0.2610894141829394,0.07671181382624366,0.007671181382624366,0.7425564217280711,0.01951950005180888,0.0019519500051808879,1.0
BA-localized,Adaptive TIA,12,100,0.25585817060637206,0.07654232677410741,0.007654232677410741,0.7297403993911796,0.02527882700887043,0.002527882700887043,1.0
BA-localized,Adaptive TIA,14,100,0.247584789311408,0.0809647901203423,0.00809647901203423,0.7152658301995243,0.03144427016307402,0.0031444270163074025,1.0
BA-localized,Adaptive TIA,16,100,0.24521068859198356,0.07376520653883181,0.007376520653883181,0.7143017851067077,0.029519151741697024,0.0029519151741697024,1.0
BA-localized,Adaptive TIA,18,100,0.2569373072970195,0.07189838615577679,0.007189838615577679,0.7093865264526374,0.03185638125561195,0.0031856381255611953,1.0
BA-localized,Adaptive TIA,20,100,0.2663206577595067,0.07405454256098558,0.007405454256098558,0.7069104246984689,0.03230444582390376,0.003230444582390376,1.0
BA-localized,GNN-RL,1,100,0.150863309352518,0.050999831939123774,0.005099983193912377,0.8893254736589262,0.019790193948442485,0.0019790193948442487,1.0
BA-localized,GNN-RL,2,100,0.1489825282631038,0.044501166600604894,0.004450116660060489,0.8917135563114884,0.015189907346422142,0.0015189907346422143,1.0
BA-localized,GNN-RL,4,100,0.1493730729701953,0.04042941833240747,0.004042941833240747,0.8909837070851253,0.01070358933521054,0.0010703589335210538,1.0
BA-localized,GNN-RL,6,100,0.14398766700924973,0.037772685530137566,0.0037772685530137566,0.8919909698694367,0.008483208761796035,0.0008483208761796035,1.0
BA-localized,GNN-RL,8,100,0.1410277492291881,0.03852499307317269,0.003852499307317269,0.8923151043247131,0.009118740445560831,0.0009118740445560831,1.0
BA-localized,GNN-RL,10,100,0.15152106885919836,0.03802623676811158,0.003802623676811158,0.891170433626642,0.008150920665269484,0.0008150920665269485,1.0
BA-localized,GNN-RL,12,100,0.14574511819116137,0.03795880020632289,0.003795880020632289,0.8929443447633848,0.008684366164302152,0.0008684366164302152,1.0
BA-localized,GNN-RL,14,100,0.13992805755395687,0.039760315673316476,0.0039760315673316475,0.8944051988206043,0.008900134998425019,0.0008900134998425019,1.0
BA-localized,GNN-RL,16,100,0.13708119218910586,0.035594497700151814,0.0035594497700151815,0.8947505110180167,0.008373414877703815,0.0008373414877703815,1.0
BA-localized,GNN-RL,18,100,0.1429085303186023,0.036416963725757014,0.0036416963725757014,0.8956340067365467,0.008419896763587831,0.0008419896763587831,1.0
BA-localized,GNN-RL,20,100,0.147070914696814,0.03850165898822639,0.003850165898822639,0.8948956079987427,0.009192035646738785,0.0009192035646738786,1.0
WS-random,Adaptive TD,1,100,0.43680369989722506,0.15713391668014204,0.015713391668014203,0.7691270827770462,0.0714120089712338,0.00714120089712338,1.0
WS-random,Adaptive TD,2,100,0.5105241521068858,0.156244765631976,0.015624476563197601,0.7289390320487829,0.07291801286958527,0.007291801286958527,1.0
WS-random,Adaptive TD,4,100,0.575611510791367,0.12810342781461104,0.012810342781461103,0.6857392384932796,0.060055475759259964,0.006005547575925996,1.0
WS-random,Adaptive TD,6,100,0.5789208633093526,0.13483484676030727,0.013483484676030727,0.675838489636883,0.06377809834107126,0.006377809834107126,1.0
WS-random,Adaptive TD,8,100,0.5963412127440904,0.12023068208427352,0.012023068208427353,0.6578329317354696,0.05260617522486846,0.005260617522486846,1.0
WS-random,Adaptive TD,10,100,0.624398766700925,0.11633761919791229,0.011633761919791229,0.6407730060858828,0.0476407514049836,0.00476407514049836,1.0
WS-random,Adaptive TD,12,100,0.6139362795477904,0.11752675490325046,0.011752675490325045,0.6400565650777701,0.04760349249287579,0.004760349249287579,1.0
WS-random,Adaptive TD,14,100,0.6112641315519014,0.11230239106158536,0.011230239106158536,0.6317428459964163,0.041929595984624896,0.004192959598462489,1.0
WS-random,Adaptive TD,16,100,0.6063412127440905,0.10407801392825843,0.010407801392825843,0.6337477181179978,0.03860420915595065,0.003860420915595065,1.0
WS-random,Adaptive TD,18,100,0.6342959917780062,0.09958301947875493,0.009958301947875493,0.6122247710304217,0.03393164943989167,0.0033931649439891674,1.0
WS-random,Adaptive TD,20,100,0.6428160328879753,0.09573399058153503,0.009573399058153503,0.613225362972933,0.030354367976093366,0.0030354367976093365,1.0
WS-random,Adaptive Katz,1,100,0.3985919835560124,0.14509431913973425,0.014509431913973424,0.7903619022894912,0.06480419670660825,0.006480419670660825,1.0
WS-random,Adaptive Katz,2,100,0.461808838643371,0.1403153785104925,0.01403153785104925,0.7556582772675894,0.06281065667636006,0.006281065667636006,1.0
WS-random,Adaptive Katz,4,100,0.5142959917780061,0.12183585395386719,0.012183585395386718,0.7226735643237112,0.05376880913130793,0.005376880913130793,1.0
WS-random,Adaptive Katz,6,100,0.5155704008221994,0.12057442307289944,0.012057442307289943,0.716056073457778,0.04960713596383698,0.004960713596383698,1.0
WS-random,Adaptive Katz,8,100,0.5169167523124358,0.1191863832013131,0.011918638320131309,0.713196661408094,0.0492066588065733,0.00492066588065733,1.0
WS-random,Adaptive Katz,10,100,0.5524768756423433,0.11287703110814887,0.011287703110814886,0.6966679335939596,0.044358712443006126,0.004435871244300613,1.0
WS-random,Adaptive Katz,12,100,0.5428365878725592,0.1117730449645847,0.01117730449645847,0.6966547270884059,0.04083533252139181,0.0040835332521391805,1.0
WS-random,Adaptive Katz,14,100,0.5341726618705036,0.11644361348586345,0.011644361348586344,0.6959050987596005,0.0418357745012433,0.00418357745012433,1.0
WS-random,Adaptive Katz,16,100,0.5290339157245633,0.10736496088780197,0.010736496088780197,0.6965519702730459,0.03604675048341815,0.003604675048341815,1.0
WS-random,Adaptive Katz,18,100,0.5518499486125384,0.10246143092546983,0.010246143092546983,0.6873968870902786,0.03537609518780944,0.0035376095187809437,1.0
WS-random,Adaptive Katz,20,100,0.5579033915724564,0.10282801506363395,0.010282801506363395,0.6874318158478543,0.03521969381300364,0.003521969381300364,1.0
WS-random,Adaptive TIA,1,100,0.28197327852004106,0.09769290503237808,0.009769290503237809,0.8533772218921597,0.040188697513980555,0.004018869751398055,1.0
WS-random,Adaptive TIA,2,100,0.32648509763617684,0.10594943680441282,0.010594943680441282,0.830007656487825,0.04358342107541751,0.004358342107541751,1.0
WS-random,Adaptive TIA,4,100,0.37022610483042134,0.09507595356095602,0.009507595356095602,0.8023156258543956,0.0378451825916551,0.00378451825916551,1.0
WS-random,Adaptive TIA,6,100,0.38195272353545745,0.10812884337328509,0.010812884337328509,0.788878192284756,0.04162052849200655,0.004162052849200655,1.0
