config,method,tau,n_runs,pc_mean,pc_std,pc_sem,anc_mean,anc_std,anc_sem,success_rate
BA-random,Adaptive TD,0.1,100,0.45013360739979447,0.13449495537034936,0.013449495537034936,0.6048652902640952,0.03575070783051758,0.0035750707830517576,1.0
BA-random,Adaptive TD,0.2,100,0.4690236382322713,0.11740095283289466,0.011740095283289466,0.6076645100182639,0.03034973692984726,0.003034973692984726,1.0
BA-random,Adaptive TD,0.5,100,0.45671120246659824,0.10680681118666045,0.010680681118666045,0.6165964265386847,0.03637344452340924,0.0036373444523409237,1.0
BA-random,Adaptive TD,1.0,100,0.41965056526207606,0.10134356607541,0.010134356607540999,0.6214764721026126,0.037234829903017595,0.0037234829903017596,1.0
BA-random,Adaptive TD,2.0,100,0.38598150051387464,0.10014163191892568,0.010014163191892567,0.6319210747272329,0.03252418853071641,0.003252418853071641,1.0
BA-random,Adaptive TD,5.0,100,0.38771839671120245,0.10087518369164547,0.010087518369164546,0.6556804759902042,0.027411913147895876,0.0027411913147895877,1.0
BA-random,Adaptive TD,10.0,100,0.36921891058581713,0.09586915930113678,0.009586915930113678,0.6621040481563162,0.024163600301397754,0.0024163600301397754,1.0
BA-random,Adaptive TD,20.0,100,0.3548715313463514,0.10660462778610143,0.010660462778610142,0.667084836701506,0.02724686375735752,0.002724686375735752,1.0
BA-random,Adaptive TD,50.0,100,0.3487358684480988,0.09687198965408164,0.009687198965408164,0.671298292883665,0.027527217204521774,0.0027527217204521776,1.0
BA-random,Adaptive TD,100.0,100,0.360082219938335,0.09233244621544433,0.009233244621544432,0.6771491416146682,0.025803007790437205,0.0025803007790437204,1.0
BA-random,Adaptive Katz,0.1,100,0.3952106885919835,0.11975483081783674,0.011975483081783674,0.6547601109278299,0.0309846242301541,0.0030984624230154098,1.0
BA-random,Adaptive Katz,0.2,100,0.4015210688591984,0.10790739276027238,0.010790739276027238,0.6634379668696185,0.03019753224765853,0.003019753224765853,1.0
BA-random,Adaptive Katz,0.5,100,0.40772867420349435,0.09971785079273975,0.009971785079273975,0.6605977535261658,0.029233996696255996,0.0029233996696255995,1.0
BA-random,Adaptive Katz,1.0,100,0.37755395683453236,0.09241249040482173,0.009241249040482173,0.6667650882609832,0.0283945226336326,0.00283945226336326,1.0
BA-random,Adaptive Katz,2.0,100,0.343535457348407,0.0838171708044294,0.008381717080442939,0.6781165693705755,0.0327116091758959,0.0032711609175895898,1.0
BA-random,Adaptive Katz,5.0,100,0.34068859198355594,0.0851128394251942,0.00851128394251942,0.7024235614664189,0.024267582287970185,0.0024267582287970184,1.0
BA-random,Adaptive Katz,10.0,100,0.3178211716341213,0.08183893221645425,0.008183893221645425,0.7137498408419505,0.024660652027038415,0.0024660652027038415,1.0
BA-random,Adaptive Katz,20.0,100,0.3018191161356629,0.0881982574633848,0.00881982574633848,0.7173713401608246,0.024651735301771647,0.0024651735301771645,1.0
BA-random,Adaptive Katz,50.0,100,0.29527235354573483,0.07984169621724044,0.007984169621724043,0.7160752534469068,0.02645880215472426,0.002645880215472426,1.0
BA-random,Adaptive Katz,100.0,100,0.30475847893114083,0.07831037139195847,0.007831037139195847,0.7236149270358573,0.027063731320958538,0.002706373132095854,1.0
BA-random,Adaptive TIA,0.1,100,0.25372045220966083,0.07630436302540027,0.007630436302540027,0.6943474252542882,0.05307096957142345,0.005307096957142345,1.0
BA-random,Adaptive TIA,0.2,100,0.2621891058581706,0.07173423033120431,0.007173423033120431,0.7005710929330806,0.04170178383337655,0.004170178383337655,1.0
BA-random,Adaptive TIA,0.5,100,0.26378211716341216,0.06818358564176119,0.006818358564176119,0.7024892621795051,0.04284291930240696,0.004284291930240696,1.0
BA-random,Adaptive TIA,1.0,100,0.2570811921891058,0.06928966399110527,0.006928966399110527,0.7000015019577429,0.04188466577390769,0.004188466577390769,1.0
BA-random,Adaptive TIA,2.0,100,0.2484378211716341,0.07493565603535204,0.007493565603535204,0.7086393729498927,0.034954484040385175,0.0034954484040385174,1.0
BA-random,Adaptive TIA,5.0,100,0.26414182939362796,0.0747608970839561,0.0074760897083956095,0.7292166574835224,0.028358901024356176,0.0028358901024356175,1.0
BA-random,Adaptive TIA,10.0,100,0.25531346351490236,0.07348258646329699,0.007348258646329699,0.7310248398455405,0.03025921120758189,0.003025921120758189,1.0
