method,lambda_eff,n_runs,pc_mean,pc_std,pc_sem,anc_mean,anc_std,anc_sem,invasion_mean,invasion_std,invasion_sem,success_rate
TD,1,10,0.6156635802469136,0.004337662106207666,0.001371689197581942,0.6162761433383752,0.005150582085615201,0.0016287570666204407,0.3560747663551402,0.0031000826572087988,0.000980332213156681,1.0
TD,2,10,0.6245563271604938,0.003999433907940105,0.0012647320500398913,0.6001549837724944,0.0033454665930650776,0.0010579294270089312,0.5373190397654388,0.004518917791138308,0.001429007277905411,1.0
TD,4,10,0.6302565586419753,0.005253549229156616,0.0016613181363956777,0.5927535344602785,0.0052993309965463,0.0016757956024216199,0.7218801539307311,0.0041552311657834145,0.0013139994688392302,1.0
TD,6,10,0.6275462962962963,0.007815857189053537,0.0024715910584010427,0.5901891114990956,0.007520917318033971,0.0023783228818792307,0.811315741249771,0.003967085085479637,0.001254502454179942,1.0
TD,8,10,0.6282407407407408,0.004877617478172561,0.0015424380786071916,0.5880321427101081,0.004403393533000927,0.0013924752998338743,0.8570001832508705,0.0022537063432806047,0.0007126845221936025,1.0
TD,10,10,0.6287905092592593,0.008398079921731484,0.002655706052480008,0.5836163359388582,0.008055858235716397,0.0025474860532289415,0.8874748030053142,0.0037929942277811456,0.0011994500911659928,1.0
TD,12,10,0.6262731481481482,0.004185734547778418,0.0013236454851834685,0.5844601691527325,0.003983922152549879,0.0012598268022858403,0.90558915154847,0.0016726097091768345,0.0005289256317510633,1.0
TD,14,10,0.6266396604938271,0.008232273481238665,0.0026032734522117604,0.5824954093590407,0.008001072277365517,0.0025301612120105514,0.9172530694520798,0.001929123438763339,0.000610042395410851,1.0
TD,16,10,0.6198495370370369,0.013669825908728435,0.0043227785089562844,0.5889114745714193,0.012733868791325187,0.004026802880632296,0.9272677295217152,0.002105711185226072,0.0006658843439807088,1.0
TD,18,10,0.626195987654321,0.005637074459583346,0.0017825994632246153,0.582065922037148,0.006109387712044009,0.0019319580279103976,0.9358347077148617,0.0016820443573410935,0.0005319091294632018,1.0
TD,20,10,0.6151716820987654,0.017947718394566315,0.005675566893013014,0.5917471091821838,0.017986951348713694,0.0056879734424572816,0.9420377496793112,0.0016028952694773608,0.0005068799902257832,1.0
TIA,1,10,0.6194444444444445,0.015040433924421469,0.004756202819843664,0.49316889210834286,0.009160872187545868,0.002896922146633413,0.3426791277258567,0.005697599333322771,0.0018017391088356847,1.0
TIA,2,10,0.6249807098765431,0.011838605094670693,0.0037436956418432695,0.48565101714253256,0.007710769618672933,0.0024383594507834468,0.4667216419277991,0.003854981622110037,0.001219052226395823,1.0
TIA,4,10,0.6540895061728395,0.11570036268409244,0.03658766721892847,0.4689970864480298,0.0534788403503457,0.01691149421316095,0.573199560197911,0.004441036735395288,0.0014043791256327627,0.9
TIA,6,10,0.5990451388888889,0.010828741510025443,0.003424348736489146,0.496723076598074,0.00806714927613234,0.002551056593715681,0.6264431006047279,0.004119477937181784,0.0013026933052306473,1.0
TIA,8,10,0.5878375771604938,0.02113840431016669,0.0066845503721647105,0.5044978849757052,0.015385058865000753,0.004865182794916736,0.6669507055158512,0.004308432177567248,0.0013624458825471514,1.0
TIA,10,10,0.5818479938271606,0.01977186840659919,0.006252413776197758,0.5071404019367689,0.015343982845202409,0.004852193416939043,0.6981858163826279,0.004269391348630669,0.0013501000884290912,1.0
TIA,12,10,0.5772858796296296,0.015623931266795425,0.004940720880899341,0.5096774451007049,0.011848706146043974,0.003746889874753463,0.722649807586586,0.004485530644336315,0.0014184493350585404,1.0
TIA,14,10,0.5652681327160494,0.012976967290420055,0.004103677375923112,0.517226600338849,0.008770411660843882,0.0027734476865566857,0.7431739050760491,0.00474616216769058,0.001500868259442425,1.0
TIA,16,10,0.5454378858024691,0.030825033323649487,0.009747731425332262,0.5323974575517247,0.024864953265787755,0.00786298862335314,0.7602620487447316,0.008586945927006073,0.002715430727404516,1.0
TIA,18,10,0.5503086419753087,0.010633495744943674,0.00336260660437309,0.5276194193389526,0.008074667016675877,0.002553433912013258,0.7792743265530511,0.0054900382700065874,0.0017361025374711288,1.0
TIA,20,10,0.547145061728395,0.01705381109950622,0.005392888586070007,0.5309692608253418,0.014133044975942737,0.004469261239757867,0.7924134139637163,0.006008868413982519,0.001900171034842832,1.0
Katz,1,10,0.5525945216049382,0.0020241076079610533,0.0006400790270432095,0.6599455526782334,0.003378413134284122,0.0010683480381366113,0.349331134322888,0.0028495952273568472,0.0009011211327992991,1.0
Katz,2,10,0.5561342592592593,0.0009139936528149675,0.00028903017098324657,0.6521916132649607,0.0028369787762841142,0.000897131460661508,0.5272768920652373,0.0025022468525633945,0.0007912799322087863,1.0
Katz,4,10,0.5581211419753086,0.005696174542291303,0.001801288550350763,0.6490358050594816,0.006091288188157599,0.0019262344559058298,0.7157595748579805,0.0042520125588090185,0.0013446044325477146,1.0
Katz,6,10,0.5568672839506174,0.005634928694029169,0.0017819209125770222,0.6479250318469905,0.006286597226976125,0.001987996596934308,0.803582554517134,0.0028187444934353197,0.0008913652741313146,1.0
Katz,8,10,0.5558063271604938,0.003462886111083573,0.0010950607388786938,0.6485427743041446,0.002435498965903506,0.0007701723971239846,0.852144035184167,0.004557027658759371,0.001441058676206417,1.0
Katz,10,10,0.5529899691358025,0.004967946501915297,0.0015710026239918388,0.6506347898344403,0.005934001301079356,0.0018764959749813343,0.883076782114715,0.0030686861598042026,0.0009704037689216722,1.0
Katz,12,10,0.5546585648148148,0.005159891682323025,0.0016317010195898737,0.6475214790664657,0.006219380474491619,0.001966740793457226,0.903591717060656,0.0020014653022814286,0.0006329189013006714,1.0
Katz,14,10,0.5538869598765432,0.004793129898875073,0.0015157207601497764,0.6476640194500554,0.005288142854774255,0.0016722576013431664,0.9146600696353306,0.0031581414818762257,0.0009986920255788249,1.0
Katz,16,10,0.554050925925926,0.0058304697311826305,0.0018437564179206768,0.6475705783090506,0.005202274140867885,0.001645103529773816,0.9270203408466189,0.0028250515488536924,0.000893359740176411,1.0
