method,lambda_eff,tau,n_runs,pc_mean,pc_std,pc_sem,anc_mean,anc_std,anc_sem,exposure_mean,exposure_std,exposure_sem,success_rate
TD,1,2.0,10,0.12813765182186235,0.003393330893570892,0.0010730654478298435,0.8197330105697331,0.004842041991668172,0.0015311881219849466,0.06525505293551491,0.0012021170353028671,0.00038014278456460993,0.0
TD,2,2.0,10,0.14757085020242916,0.004954347469846322,0.0015667022324606756,0.7600389558277212,0.04282668463956425,0.01354298680947703,0.11963426371511068,0.005219536809607797,0.0016505624649449271,0.0
TD,4,2.0,10,0.167914979757085,0.013590294713873555,0.004297628536878676,0.7045149029577054,0.04163993576399184,0.013167703863731771,0.2116458132820019,0.013976951103535437,0.004419900023197589,0.0
TD,6,2.0,10,0.18309716599190284,0.021930888586249704,0.006935155904393912,0.6741309914682009,0.04348887894000282,0.013752391033773802,0.29076034648700677,0.016381407140341753,0.00518025578420255,0.0
TD,8,2.0,10,0.16943319838056678,0.02185953648136335,0.006912592387665102,0.6899111821489313,0.04873421905480938,0.015411113220277585,0.34388835418671804,0.022690686240070278,0.007175425019086428,0.0
TD,10,2.0,10,0.1832995951417004,0.03617893707502803,0.011440784448099865,0.6444339059129595,0.07124857436020589,0.022530777501812465,0.3790182868142445,0.02295753842675738,0.007259811089939197,0.0
TD,12,2.0,10,0.19504048582995953,0.02593562999196035,0.008201566332596921,0.6307541280095309,0.0680753073987339,0.021527302379611136,0.45120307988450425,0.022459874294931435,0.00710243587330517,0.0
TD,14,2.0,10,0.19595141700404856,0.019881387033962295,0.0062870466070660234,0.6214034710610882,0.05994850397679931,0.01895738148863477,0.5278152069297402,0.023607652496003047,0.007465395209712871,0.0
TD,16,2.0,10,0.20364372469635628,0.03053192637365058,0.009655042869330098,0.6119574857695131,0.08063854231779302,0.025500146092009936,0.5245428296438883,0.02408083927468105,0.007615030007642919,0.0
TD,18,2.0,10,0.1882591093117409,0.025887989590704708,0.008186501114935704,0.6154677049191906,0.06739422990769468,0.021311926766135456,0.6128970163618865,0.02774100823514637,0.00877247706125504,0.0
TD,20,2.0,10,0.21619433198380564,0.034183565065282105,0.010809792415085385,0.5754832464522966,0.07940613232415882,0.025110423832906164,0.6252165543792108,0.03480128950291237,0.01100513403401121,0.0
TIA,1,2.0,10,0.08299595141700404,0.0013579360187245678,0.0004294170735950691,0.8726481549494235,0.006859057546466815,0.0021690244449001344,0.04908565928777671,0.0,0.0,0.0
TIA,2,2.0,10,0.09170040485829958,0.0023169075186760314,0.0007326704886985365,0.7381845675078788,0.06209432422752266,0.019635949432794706,0.1055822906641001,0.002021174205967274,0.0006391514038838874,0.0
TIA,4,2.0,10,0.09908906882591093,0.007819767575594614,0.0024728276312011893,0.6770296913978042,0.052542128819216875,0.01661528001826987,0.18142444658325313,0.008546441047926984,0.002702621959980553,0.0
TIA,6,2.0,10,0.10425101214574899,0.005543750582036094,0.0017530878619118188,0.6605893333840372,0.056999096922034524,0.0180246970846322,0.22646775745909528,0.013168884058855452,0.004164366786866608,0.0
TIA,8,2.0,10,0.10111336032388663,0.008026641252189002,0.0025382468317983226,0.6837403321609006,0.04470344681302328,0.014136471118934886,0.26304138594802695,0.013841087678177176,0.00437693623571315,0.0
TIA,10,2.0,10,0.12044534412955465,0.008730307146901957,0.00276076552570564,0.5787311831840056,0.04192410741906375,0.01325756683138047,0.3127045235803657,0.015378053026678213,0.004862967354314924,0.0
TIA,12,2.0,10,0.10860323886639675,0.01112485854594248,0.0035179891652367184,0.6104034001593855,0.043427245660168416,0.013732900879379478,0.3244465832531281,0.016970233925746394,0.005366459163121936,0.0
TIA,14,2.0,10,0.12186234817813765,0.008638294855608042,0.0027316686843836748,0.5464945597578958,0.046407568130122694,0.014675361596062904,0.3843118383060635,0.022666178282127473,0.007167674922296539,0.0
TIA,16,2.0,10,0.11214574898785423,0.01738888784008441,0.005498849155187251,0.6095417777380343,0.07164322226646952,0.022655576127573435,0.387776708373436,0.019974082831323833,0.006316359591984812,0.0
TIA,18,2.0,10,0.11487854251012146,0.014945866575718919,0.004726297998425321,0.5589871299792296,0.04271089999973136,0.01350637249148361,0.4847930702598652,0.035465325803433104,0.011215120749878968,0.0
TIA,20,2.0,10,0.11336032388663968,0.012882512207852083,0.004073808056173706,0.5841777186413594,0.0646531694931431,0.02044512735472462,0.4728585178055823,0.03308986747590603,0.010463934869698988,0.0
Katz,1,2.0,10,0.09271255060728745,0.005105068912112751,0.0016143645374394242,0.8120449526059537,0.013781391810297632,0.004358058744773166,0.04908565928777671,0.0,0.0,0.0
Katz,2,2.0,10,0.11781376518218623,0.0062753036437246945,0.001984425252332383,0.7099328108184726,0.01866782172405556,0.005903283560198686,0.12887391722810398,0.004440913183853446,0.0014043400552046982,0.0
Katz,4,2.0,10,0.12793522267206478,0.006242568398829668,0.0019740734589692144,0.6720563694077514,0.033049288224755835,0.010451102583761125,0.2120307988450433,0.011517842216502469,0.0036422615134590005,0.0
Katz,6,2.0,10,0.14119433198380565,0.01084697290144822,0.003430114008670149,0.6049060823682096,0.05415431110658075,0.017125096821414863,0.29239653512993263,0.017248255510566142,0.0054543773077939455,0.0
Katz,8,2.0,10,0.1425101214574899,0.007489878542510121,0.0023685075592354255,0.6147849128266388,0.06442947113984716,0.0203743877242002,0.3384023099133783,0.019417932955408643,0.00614048955915361,0.0
Katz,10,2.0,10,0.15010121457489878,0.008235782132161279,0.0026043829850547514,0.5665880367413504,0.058372439295586685,0.018458986075396863,0.39422521655437925,0.0217619027672932,0.006881717896376772,0.0
Katz,12,2.0,10,0.14230769230769233,0.014272331770908765,0.0045133075917656185,0.5706255199755423,0.0612234191520486,0.019360545066364816,0.42762271414821945,0.024150173828052197,0.007636955518563253,0.0
Katz,14,2.0,10,0.15870445344129555,0.01164451580426693,0.0036823192191310938,0.5400253492589445,0.05104917946669053,0.016143167979744178,0.5179980750721849,0.029423074193317432,0.009304393021500447,0.0
Katz,16,2.0,10,0.15850202429149798,0.014243591645548401,0.004504219166127867,0.5458137614802289,0.029977756179565863,0.009479798866861571,0.514436958614052,0.027825861928775262,0.008799310155229582,0.0
Katz,18,2.0,10,0.1651821862348178,0.01567225251080641,0.00495600139994409,0.5495305121536579,0.04532285021537842,0.01433234367312488,0.6280076997112609,0.026642176199550352,0.008424995861410777,0.0
Katz,20,2.0,10,0.16153846153846155,0.013467244840874408,0.0042587167504315,0.5485939643516267,0.04781285094291904,0.01511975104057535,0.6341674687199228,0.024266500025913264,0.007673741092242091,0.0
GNN-RL,1,2.0,10,0.07540485829959513,0.0015182186234817823,0.00048010288362880277,0.8580315097137168,0.004141089679990288,0.001309527538378711,0.04908565928777671,0.0,0.0,0.0
GNN-RL,2,2.0,10,0.07834008097165993,0.004128760739751242,0.0013056287851495622,0.8373398255272295,0.010979266774050313,0.003471949004460825,0.09634263715110683,0.0070654291250175,0.0022342848681545856,0.0
GNN-RL,4,2.0,10,0.08046558704453441,0.0042762409259671265,0.0013522661149683588,0.8179635805899492,0.03862137384634535,0.012213150771930921,0.15678537054860442,0.006419713626815124,0.002030091698675599,0.0
GNN-RL,6,2.0,10,0.08248987854251012,0.0040800899535923816,0.0012902377311722628,0.819490432751295,0.03025807603425514,0.009568443788280125,0.1933589990375361,0.00804622129298436,0.002544438584357557,0.0
GNN-RL,8,2.0,10,0.08026315789473684,0.004855135609397352,0.0015353286874685236,0.8228273632454132,0.03448944234202026,0.010906519302983605,0.21472569778633305,0.007988450433108762,0.002526169834398225,0.0
