lambda_eff,config,method,move_prob,attack_ratio,n_sims,pc_mean,pc_std,pc_sem,anc_mean,anc_std,anc_sem
1,BA-random,Adaptive TD,0.01,0.01,500,0.535731111111111,0.01883892201576431,0.0008425022050013273,0.6621149792641624,0.01506725156834977,0.0006738279748184081
1,BA-random,Adaptive TD,0.02,0.02,500,0.534988888888889,0.019039850995370894,0.000851488022142327,0.6623030883920676,0.015303724063469203,0.0006844033462963288
1,BA-random,Adaptive TD,0.03,0.03,500,0.5359844444444445,0.019634342676689717,0.0008780744983720676,0.6615789833396493,0.015560847914037047,0.0006959022744664528
1,BA-random,Adaptive TD,0.04,0.04,500,0.534888888888889,0.02004143855264036,0.0008962803794117768,0.6628274307090971,0.01590919189329046,0.0007114806908097209
1,BA-random,Adaptive TD,0.05,0.05,500,0.5362466666666666,0.02077602832801351,0.0009291322328779902,0.6608336183355528,0.015954341833867583,0.0007134998575359314
1,BA-random,Adaptive Katz,0.01,0.01,500,0.46662,0.015990283932654652,0.0007151072370587694,0.7057827362754958,0.012326851666349798,0.000551273565490294
1,BA-random,Adaptive Katz,0.02,0.02,500,0.4665622222222222,0.01687328094581914,0.0007545960639660708,0.7051696334616556,0.012754172926936334,0.000570383953228342
1,BA-random,Adaptive Katz,0.03,0.03,500,0.4664955555555555,0.016580752041798492,0.0007415137736705973,0.7049567962899486,0.01311490104998081,0.0005865162053188091
1,BA-random,Adaptive Katz,0.04,0.04,500,0.46573333333333333,0.01566258418045619,0.0007004520586162574,0.7058080163970931,0.01214847946868471,0.0005432965183047908
1,BA-random,Adaptive Katz,0.05,0.05,500,0.46594222222222226,0.01677972380178522,0.0007504120612892593,0.7047746050387522,0.013150921317976265,0.0005881270806749211
1,BA-random,Adaptive TIA,0.01,0.01,500,0.38006,0.01267578054187114,0.0005668781391898597,0.7474247792356612,0.016279759201095256,0.0007280529646195332
1,BA-random,Adaptive TIA,0.02,0.02,500,0.38007111111111114,0.01283590181127302,0.0005740389800503829,0.7469054628341051,0.016124952732459542,0.0007211298088750103
1,BA-random,Adaptive TIA,0.03,0.03,500,0.38016222222222223,0.013462370235054413,0.0006020554996770298,0.7479375094475685,0.016881621839325966,0.0007549690800635578
1,BA-random,Adaptive TIA,0.04,0.04,500,0.37934222222222225,0.012589704592578617,0.0005630287057129416,0.7491065540156556,0.015804731069355264,0.0007068090607436262
1,BA-random,Adaptive TIA,0.05,0.05,500,0.3802911111111111,0.012951636342586883,0.0005792147856376205,0.7469385489009894,0.01684287969377638,0.0007532364786426966
1,BA-random,GNN-RL,0.01,0.01,500,0.35015333333333337,0.013156557581959171,0.0005883791420630193,0.8017973001547141,0.008895582485911924,0.00039782254275911254
1,BA-random,GNN-RL,0.02,0.02,500,0.3497555555555556,0.012710236955178693,0.00056841907683819,0.8022027386078193,0.00804690211409507,0.0003598684027080669
1,BA-random,GNN-RL,0.03,0.03,500,0.35,0.015271210709803262,0.0006829493049168581,0.8022409768857797,0.009672981242849486,0.000432588872081837
1,BA-random,GNN-RL,0.04,0.04,500,0.35048222222222214,0.014418337261373657,0.000644807644778993,0.8016799164799625,0.008281588361594542,0.0003703638907639301
1,BA-random,GNN-RL,0.05,0.05,500,0.34978888888888887,0.014812653083024143,0.0006624419844152763,0.8011256395022213,0.009241869127079437,0.00041330895214612527
1,BA-localized,Adaptive TD,0.01,0.01,500,0.5176022222222223,0.02670222249963012,0.001194159693189946,0.6792011313542844,0.018723258309692757,0.0008373295668152162
1,BA-localized,Adaptive TD,0.02,0.02,500,0.5198311111111111,0.024664586899309306,0.0011030338588761273,0.6770950664421621,0.018377547053167596,0.0008218688894116737
1,BA-localized,Adaptive TD,0.03,0.03,500,0.5176733333333334,0.02529678562511378,0.0011313066453998784,0.6790505281492746,0.018296499894062204,0.0008182443502688157
1,BA-localized,Adaptive TD,0.04,0.04,500,0.5193599999999999,0.025477664485865283,0.00113939579396654,0.6787036449660829,0.0183177604244365,0.0008191951500919082
