config,method,target_ratio,n_runs,pc_mean,pc_std,pc_sem,anc_mean,anc_std,anc_sem,success_rate
BA-random,Adaptive TD,0.01,100,0.20084812623274165,0.09481244273517174,0.009481244273517174,0.8503096881480665,0.036729970585002256,0.0036729970585002254,1.0
BA-random,Adaptive TD,0.02,100,0.2701792828685259,0.0896201413400679,0.00896201413400679,0.7810787872768392,0.026788477351609313,0.002678847735160931,1.0
BA-random,Adaptive TD,0.03,100,0.30937625754527165,0.086477983765894,0.0086477983765894,0.7303252055233997,0.026097530736606655,0.0026097530736606655,1.0
BA-random,Adaptive TD,0.04,100,0.33138211382113814,0.09085043918560946,0.009085043918560947,0.6958784901160925,0.022224410510303803,0.0022224410510303804,1.0
BA-random,Adaptive TD,0.05,100,0.341634121274409,0.09368283415496571,0.009368283415496571,0.65866043184787,0.031780006866116296,0.00317800068661163,1.0
BA-random,Adaptive TD,0.06,100,0.38749740394600196,0.0974366784590848,0.00974366784590848,0.6302537744992996,0.035017737002287816,0.0035017737002287818,1.0
BA-random,Adaptive TD,0.07,100,0.3869045120671563,0.0946988463083607,0.00946988463083607,0.6097648399371669,0.03993256943778855,0.003993256943778855,1.0
BA-random,Adaptive TD,0.08,100,0.3933828207847297,0.10918096864359814,0.010918096864359813,0.5851340034839692,0.04195926845653972,0.004195926845653971,1.0
BA-random,Adaptive TD,0.09,100,0.3986695278969957,0.09870560248714177,0.009870560248714178,0.5641996425330802,0.04819466337018296,0.004819466337018296,1.0
BA-random,Adaptive TD,0.1,100,0.4321041214750542,0.09331646680932745,0.009331646680932745,0.54911006523332,0.04920573337741006,0.004920573337741006,1.0
BA-random,Adaptive TD,0.11,100,0.45169956140350886,0.09960551603616498,0.009960551603616499,0.5400092783543582,0.049809403670850315,0.004980940367085031,1.0
BA-random,Adaptive TD,0.12,100,0.43208425720620836,0.10345250520757122,0.010345250520757122,0.5274742072236009,0.055683545314043535,0.005568354531404354,1.0
BA-random,Adaptive TD,0.13,100,0.4650392817059484,0.104617149724079,0.0104617149724079,0.5129203987657004,0.047316591685766296,0.004731659168576629,1.0
BA-random,Adaptive TD,0.14,100,0.4587173666288308,0.10226966316791335,0.010226966316791335,0.505992475354305,0.05292424799038836,0.005292424799038836,1.0
BA-random,Adaptive TD,0.15,100,0.47963260619977033,0.11098828235921909,0.011098828235921909,0.4983428299956912,0.05652381674107446,0.005652381674107447,1.0
BA-random,Adaptive Katz,0.01,100,0.1861439842209073,0.08545936784822993,0.008545936784822992,0.8588284023319572,0.02775204273671417,0.002775204273671417,1.0
BA-random,Adaptive Katz,0.02,100,0.24420318725099605,0.08103180434265761,0.00810318043426576,0.7992986105222607,0.018871715026206593,0.0018871715026206593,1.0
BA-random,Adaptive Katz,0.03,100,0.273148893360161,0.07655697585250022,0.007655697585250022,0.7611270258474829,0.019742612827395242,0.0019742612827395242,1.0
BA-random,Adaptive Katz,0.04,100,0.2821036585365854,0.07720274954609901,0.007720274954609902,0.738054942414592,0.023378369565008744,0.0023378369565008744,1.0
BA-random,Adaptive Katz,0.05,100,0.2918807810894142,0.08132776483006608,0.008132776483006608,0.7023606177510311,0.031149289317953754,0.0031149289317953755,1.0
BA-random,Adaptive Katz,0.06,100,0.3252544132917965,0.08120371653564228,0.008120371653564228,0.6910515623920139,0.03170543171712069,0.0031705431717120687,1.0
BA-random,Adaptive Katz,0.07,100,0.32331584470094443,0.08383364539673496,0.008383364539673496,0.6732779424857614,0.03687386035598563,0.003687386035598563,1.0
BA-random,Adaptive Katz,0.08,100,0.3261717921527041,0.08884585618309142,0.008884585618309142,0.6541866764670787,0.041856290947025754,0.004185629094702575,1.0
BA-random,Adaptive Katz,0.09,100,0.32945278969957087,0.08376377584638789,0.00837637758463879,0.6382727016344348,0.042472828374969705,0.004247282837496971,1.0
