config,base_method,strategy,lambda_eff,n_sims,pc_mean,pc_sem,anc_mean,anc_sem
BA-random,TD,Fully,1,100,0.2855909558067832,0.009719587853471504,0.7821659789613943,0.0026201032839046775
BA-random,TD,Fully,2,100,0.32343268242548817,0.009702263003033996,0.7448512566682846,0.002223239258963755
BA-random,TD,Fully,4,100,0.3527440904419322,0.00966307927141619,0.7087843418996411,0.002368184137908587
BA-random,TD,Fully,6,100,0.3517471736896198,0.009805399592592282,0.6889111718895363,0.0026208946037636284
BA-random,TD,Fully,8,100,0.348365878725591,0.009853472184168292,0.6752101386451946,0.002405542129019371
BA-random,TD,Fully,10,100,0.3753751284686537,0.009833203857537606,0.6701158793145033,0.00226645894148506
BA-random,TD,Fully,12,100,0.3632374100719425,0.009587432431277836,0.665541850781403,0.002250301429805784
BA-random,TD,Fully,14,100,0.3491880781089414,0.010475594557377652,0.6587402162476651,0.0028031960090095093
BA-random,TD,Fully,16,100,0.34694758478931137,0.009371192857000759,0.6606768032349065,0.0027040014759643375
BA-random,TD,Fully,18,100,0.3582733812949641,0.009264587836694763,0.6537662185021607,0.0032075210340895477
BA-random,TD,Fully,20,100,0.3670195272353546,0.009303440061221146,0.6575086083854015,0.0027445720592261286
BA-random,TD,Batch,1,100,0.2855909558067832,0.009719587853471504,0.7821659789613943,0.0026201032839046775
BA-random,TD,Batch,2,100,0.32343268242548817,0.009702263003033996,0.7448512566682846,0.002223239258963755
BA-random,TD,Batch,4,100,0.3527440904419322,0.00966307927141619,0.7087843418996411,0.002368184137908587
BA-random,TD,Batch,6,100,0.3517471736896198,0.009805399592592282,0.6889111718895363,0.0026208946037636284
BA-random,TD,Batch,8,100,0.348365878725591,0.009853472184168292,0.6752101386451946,0.002405542129019371
BA-random,TD,Batch,10,100,0.3753751284686537,0.009833203857537606,0.6701158793145033,0.00226645894148506
BA-random,TD,Batch,12,100,0.3632374100719425,0.009587432431277836,0.665541850781403,0.002250301429805784
BA-random,TD,Batch,14,100,0.3491880781089414,0.010475594557377652,0.6587402162476651,0.0028031960090095093
BA-random,TD,Batch,16,100,0.34694758478931137,0.009371192857000759,0.6606768032349065,0.0027040014759643375
BA-random,TD,Batch,18,100,0.3582733812949641,0.009264587836694763,0.6537662185021607,0.0032075210340895477
BA-random,TD,Batch,20,100,0.3670195272353546,0.009303440061221146,0.6575086083854015,0.0027445720592261286
BA-random,Katz,Fully,1,100,0.25556012332990746,0.0084586473877532,0.8012972910057043,0.0019105470128684878
BA-random,Katz,Fully,2,100,0.27616649537512844,0.00798924543749729,0.7788084845283417,0.0016514970844415003
BA-random,Katz,Fully,4,100,0.29898252826310384,0.00822895510805077,0.7523837251395691,0.0015020999044093755
BA-random,Katz,Fully,6,100,0.29696813977389513,0.008009858087365141,0.7366498692317286,0.0023084054686594484
BA-random,Katz,Fully,8,100,0.29277492291880775,0.008328988500774868,0.7256479699570818,0.0025126831764094868
BA-random,Katz,Fully,10,100,0.31275436793422406,0.008256641987216715,0.7260608846324113,0.0026467341548656606
BA-random,Katz,Fully,12,100,0.30698869475847895,0.00828309133803479,0.7190696021000709,0.002525651147250027
BA-random,Katz,Fully,14,100,0.29715313463514903,0.008582077214712517,0.7052593356403478,0.003219332951773805
BA-random,Katz,Fully,16,100,0.29135662898252823,0.007946375932440995,0.7130209504787784,0.0027973502850700436
BA-random,Katz,Fully,18,100,0.3006269270298047,0.007860077947899972,0.7098755581265414,0.0026813753758440874
BA-random,Katz,Fully,20,100,0.31041109969167524,0.0078025115266824345,0.7116604494960527,0.002737777786137207
BA-random,Katz,Batch,1,100,0.28885919835560125,0.009089253116334585,0.7815397211818187,0.0020965331535422733
BA-random,Katz,Batch,2,100,0.31417266187050363,0.008397921205088683,0.7540114175105379,0.002208099935822724
BA-random,Katz,Batch,4,100,0.32576567317574506,0.008244527894799505,0.7308308030751474,0.001846730646202209
BA-random,Katz,Batch,6,100,0.31631038026721475,0.008404134321457828,0.7247362766024915,0.0019969269231874956
BA-random,Katz,Batch,8,100,0.31007194244604314,0.008384248198793074,0.7141483921274501,0.0022943537784204282
BA-random,Katz,Batch,10,100,0.3324871531346351,0.008144956344856343,0.7089112054528012,0.0024070502856192713
BA-random,Katz,Batch,12,100,0.32230215827338127,0.008481988921988193,0.7055375196873328,0.0026643873168685234
BA-random,Katz,Batch,14,100,0.3055601233299075,0.008994851565856221,0.7040656896829564,0.0030027342614138692
